"platName","compname","avg_revenue","投资期限","注册资金","自动投标","债权转让","资金托管","投标保障","保障模式","担保机构","业务类型","xingzhi","考察报告","risk_capital","user_capital","if_tuoguan","platId","allPlatPin","problem_time","online_tine","re_capital","origin","待收金额","涉及人数","event"
"鄂金所","ejs","15%","1月标(10.0%)、3月标(10.0%)","5000万元","不支持","不可转让","用户资金托管托管机构为懒猫金服","保本保息计划","非融资性担保公司、风险准备金(1000万元)",NA,"供应链(80%)","民营系",NA,NA,"懒猫金服",1,3085,"ejinsuo",NA,NA,NA,NA,NA,NA,"1"
"鄂商贷","esd","16%",NA,"500万元","不支持","不可转让","无托管",NA,NA,NA,NA,"民营系",NA,NA,NA,0,755,"eshangdai","2014.12","2014.07","500.00万元","湖北","NA","NA","提现困难"
"尔达信投","edxt",NA,NA,"1000万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,2454,"edaxintou","2015.08","2015.04","1000.00万元","山东","NA","NA","跑路"
"发发金融","ffjr","18%","1月标(100.0%)","600万元","支持","不可转让","无托管","平台本息担保","小贷公司、平台垫付","湖南瑞通典当有限责任公司(承保1600万)","债券流转(90%)","民营系",NA,NA,NA,0,1489,"fafajinrong",NA,NA,NA,NA,NA,NA,"1"
"发利网","flw2",NA,NA,"8800万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,3063,"faliwang","2015.09","2015.06","8800.00万元","广西","NA","NA","跑路"
"发现地","fxd1","15%","1月标(40.0%)、天标(30.0%)等","3000万元","支持",NA,"无托管",NA,"小贷公司、平台垫付",NA,"个人信用贷(5%)、车贷(35%)、房贷(40%)、供应链(20%)","民营系",NA,NA,NA,0,2017,"faxiandi","2016.03","2015.05","3000.00万元","江西","NA","NA","停业"
"发展投资","fztz",NA,NA,"1000万元",NA,NA,"无托管",NA,NA,NA,NA,"民营系",NA,NA,NA,0,281,"fazhantouzi","2015.02","2013.08","1000.00万元","山东","NA","NA","提现困难"
"法汇贷","fhd8",NA,"3月标(35.0%)、1月标(15.0%)","1000万元","支持","随时","用户资金托管托管机构为乾多多","保本保息","非融资性担保公司、p2p",NA,"个人信用贷(35%)、供应链(35%)、农村金融(30%)","民营系",NA,NA,"乾多多",1,3064,"fahuidai",NA,NA,NA,NA,NA,NA,"1"
"饭盒金服","fhjf",NA,"1月标(40.0%)、2月标(30.0%)等","5000万元","支持","2个月","用户资金托管托管机构为乾多多","VIP保本保息","非融资性担保公司、平台垫付",NA,"个人信用贷(20%)、车贷(40%)、房贷(40%)","民营系",NA,NA,"乾多多",1,1692,"fanhejinfu","2016.03","2015.03","5000.00万元","福建","NA","NA","跑路"
"泛湾天域","fwty","14.3%","2月标(70.0%)、1月标(30.0%)","10000万元","支持","随时","用户资金托管托管机构为双乾网络","逾期代偿","平台垫付",NA,"车贷(40%)、供应链(60%)","民营系",NA,NA,"双乾网络",1,2122,"fanwantianyu",NA,NA,NA,NA,NA,NA,"1"
"方便贷","fbd","15%",NA,"3000万元","不支持","1个月","无托管","本息担保","融资性担保公司、风险准备金(1000万元)",NA,NA,"民营系",NA,NA,NA,0,912,"fangbiandai","2016.02","2014.09","3000.00万元","北京","NA","NA","跑路"
"方橙式","fcs","14.1%",NA,"7960万元","不支持","不可转让","用户资金托管托管机构为汇付天下、","保本保息",NA,NA,NA,"民营系",NA,NA,"汇付天下",1,463,"fangchengshi",NA,NA,NA,NA,NA,NA,"1"
"方凯财富","fkcf","18%","1月标(80.0%)、天标(20.0%)","5000万元","支持","随时","无托管","VIP保本保息","平台垫付",NA,"个人信用贷(20%)、车贷(80%)","民营系",NA,NA,NA,0,1505,"fangkaicaifu","2015.08","2014.09","5000.00万元","上海","NA","NA","停业"
